ID	ENG (Original)	RUS (Dontaz v2.9)	note
CE9C5BF94361D15875C03BA164419CE2	'Here I shall create my masterpiece.'	"""Здесь я создам свой шедевр."""	
631690F94A0F3D8F88D2CC85F9739A50	'I find the sculpture already waiting inside a tree...'	"""Я нахожу скульптуру, которая уже таится внутри дерева..."""	
A64E51314B75E4BBA7F39B8F83206F09	'I know you Crawlers eat fire for dinner. Did you eat it?'	"""Я знаю, вы — Ползуны — едите огонь на ужин. Это вы его съели?"""	
232E89F3447DD900AA0303B509EEB160	'Is that the Murkle I see? Another decade, another teacup, eh?' he chuckled,	"""Неужели я вижу Мёркл? Ещё одно десятилетие, ещё одна чашка чая, а?"" усмехнулся он,"	
AA2E26C24E7FE767E335B39A9E36B078	'It wasn’t you?' the Murkle retorted. 'You’re its complete opposite - surely you must be the reason it’s gone!'	"""Это была не ты?"" парировала Мёркл. ""Ты — его полная противоположность, наверняка ты и есть причина его исчезновения!"""	
0469D4D9407F5BE54F2ABB98C4CB4A91	'It's easy to lose one’s head… when everything you love'	"""Легко потерять голову... когда всё, что ты любишь"""	
FA81533E47FC603BFDC46E99B60E02FB	'Its skin is coarse,' said one. 'No, its ears are big.' exclaimed another.	"""Его кожа шершава,"" сказал один. ""Нет, у него большие уши,"" воскликнул другой."	
C36BEAB141ABA8905269B1946190672D	'Light is because I am. How could I possibly hold it in my possession?'	"""Свет есть потому, что есмь я. Как я могу владеть им?"""	
995AAB6B4415CDD832A439965E58FE77	'Lo and behold, the Molgrim!' she thought to herself in slack-jawed awe.	"""Ого, Молгрим!"" — подумала она, застыв с отвисшей от изумления челюстью."	
763BF40B43BF54AE47E1C6A7D4646E4F	'Mayhaps there you shall find answers.' And before the poor little Murkle could shriek,	"""Возможно, там ты найдёшь ответы."" И прежде, чем бедная маленькая Мёркл успела пискнуть,"	
40D94284496C30EC464CE5B7AB5EB8A1	'Mister Mayor' gets this grand idea that we should	"""Господин Мэр"" приходит к этой грандиозной идее, что мы должны"	
9CFDE12742DC7E11614234B973CCD651	'My city is grand and yet...'	"""Мой город величествен и всё же..."""	
20D4BD0544414E39D78648B636FECF6E	'My daughter...'	"""Моя дочь..."""	
5B5F14F74FB402B7CCCBF7AD492CC353	'Now, rest still...' the crone said	"""А теперь, лежи смирно..."" промолвила старуха"	
30615AE247CC50101C59EEB4B73EB068	'On the wicked the flame shall rain fiery coals'	"""На нечестивых пламя прольёт огненные угли"""	
A93F1B44490D594E6EAFF594F9C753C4	'Rule my city.'	"""Правь моим городом."""	
27774EB744FAF2E8B2106586D596C2EC	'Sit in my lap, share your soft fur, and I shall warm you for a spell...'	"""Садись ко мне на колени, поделись своим мягким мехом, и я согрею тебя ненадолго..."""	
A87F9D6845A1781328ED6C8977CA76A4	'So…' she sniffed. '...what do I do now?'	"""Итак..."" шмыгнула она носом. ""...что мне теперь делать?"""	
68C3BC014E7C953B36E702AFA2D2F085	'Step into my abode', offered the dark, 'it will warm you'	"""Шагни в моё жилище"", предложила тьма, ""оно тебя согреет"""	
28754A844042DDD66DAD57A52D5D5CDD	'The teeth are its most prominent feature.' declared the third.	"""Зубы — его самая выдающаяся черта."" заявил третий."	
92BB996746D4E0D07DE074B67C348096	'These are dark days, and your kind does not belong anymore.'	"""Настали тёмные времена, и твоему роду здесь больше не место."""	
D21744CE43E91BBA54D342ABD10B3DE0	'Though the sun has gone...'	"""Хоть солнце и исчезло..."""	
58CF78F9444CAE318F982E90272C3DDE	'What are you searching for, little limb tree?' they sounded in guttural unison.	"""Что ты ищешь, маленькое сучковатое дерево?"" прогудели они в хриплом унисоне."	
7D6A676D4BA7283CCD4A2C8E7CE05F81	'What’s that, little Headlings? Are you saying YOU know who took the sun away?'	"""Что такое, маленькие Головлинги? ВЫ утверждаете, что знаете, кто забрал солнце?"""	
0DDD1AB84D264A367B285386E00E5896	'When a sinkhole devours your fire…'	"""Когда воронка поглощает твой огонь..."""	
6CAB468541800A5309EA5B84B1E9D2BA	'Where is your crown?!'	"""Где твоя корона?!"""	
B98CEF6D407D5655A60072AB5AAF8D25	'Where is your crown?!'	"""Где твоя корона?!"""	
9FDA2E7F4B802268920702BD1C220832	'Who took the sun away, Soulfisher? Surely it wasn’t caught by your hook?' After pondering for a good minute,	"""Кто забрал солнце, Ловец душ? Неужели оно не попалось на твой крючок?"" После минутного размышления,"	
7B96A5FE4479043700E74DB3122D21C6	'Who took the sun away?' it then asked the Murkle. Its voice sounded like a dark forest, deep and ancient.	"""Кто забрал солнце?"" спросила она у Мёркл. Её голос звучал как тёмный лес, глубокий и древний."	
6FE41E3F46025A06959FFDAD3FDEA6FD	'Winter was late…so now the sun must be late, too!'	"""Зима опоздала... так что теперь и солнце должно опоздать!"""	
1B91C3F84EBBEC4E702C70BDB77B81FC	'You were meant to rule!'	"""Ты была рождена править!"""	
6ABEF4214BA7E7D4C769C4A35C585D95	'You were meant to rule!'	"""Ты была рождена править!"""	
CF96B73F47EDBBB2119F1D8374BE38D1	'and burning sulfur; a scorching wind shall be their lot...'	"""и горящую серу; обжигающий ветер будет их уделом..."""	
62442990471C7693F9463191C3EB73E8	'and the earth and its works burned up.'	"""и земля и все дела её сгорят."""	
717A089440625B3DC1C49FAF525B2B60	'and then it’s just a matter of carving it out.'	"""и затем остаётся лишь освободить её."""	
C73873ED491B72D3A4C07890B63479BD	'do not light a fire beneath her, but help her build one from within.’	"""не разжигай огонь под ней, но помоги ей разжечь его изнутри."""	
2DC06842480FDD6C2C57B6A5299BDBB1	'give it up'	"""сдайся"""	
FE16F0424A91606C69D76DB1835B5A5F	'hungry Molgrim roaming the swamps. Perhaps it knows?'	"""голодном Молгриме, бродящему по болотам. Возможно, он знает?"""	
148253AB450C30E01ABC6BBB2A82B80F	'if you surrender your wants...'	"""если ты откажешься от своих желаний..."""	
8AF4E74E49533B221933DFAF300691F6	'in which the stars shall quietly pass away while...'	"""в котором звёзды тихо угаснут, пока..."""	
6BE740BE433553981C0058A2594128F9	'is either gone, broken or dead.'	"""либо пропало, либо сломано, либо мертво."""	
63E5DECB4A06C5E675DF2C8485EE9D4B	'my refuge was the clay. And now the clay has'	"""моим убежищем была глина. А теперь глина"""	
4D010BED437E38EBBC659A9445D68F9C	'or dive in after it.'	"""или нырни следом за ним."""	
3ECDDBF04F52F87753E905A355680309	'played me false in a most grievous way...'	"""предала меня самым прискорбным образом..."""	
F88B778A4999E8A97E140D8B66962B66	'the houses shall be destroyed with intense heat...'	"""дома будут уничтожены невыносимым жаром..."""	
FD70BB85474E0BC50829D18491F1887D	(Abysmal coughing)	(Мучительный кашель)	
DC42D30C451FB923D8B47BA734C16B55	(After having saved the head from the swamp)<cf>This conversation is intended to be a cutscene and will show different vistas <cf>of the level as the head speaks.	(After having saved the head from the swamp)<cf>This conversation is intended to be a cutscene and will show different vistas <cf>of the level as the head speaks.	
002EF76D46BE03D794D378B271C4F377	(Anguished screaming)	(Страдальческий крик)	
6997994E41119F853582CB9D1DAD0784	(Anguished screaming)	(Страдальческий крик)	
83A1940540A7D5B194C0E084DBBDE2F4	(Battle sounds)	(Звуки битвы)	
E2EE2ED145DB832B75710C81E7109F84	(Belch) There ya go!	(Отрыжка) Вот так!	
E36357914410362F2B92FEB44889FFC9	(Belching)	(Отрыжка)	
E4B49B174DEBCC803EDFA495E451BCF9	(Belching)	(Отрыжка)	
E77D3E2A48BE256592DF97B6B56C2D3A	(Belching)	(Отрыжка)	
A6E2AA3B48A1749E6197A38C358F0409	(Cackles maniacally)	(Маниакально хохочет)	
03BF78A54C4B5C6BBD6C21B8832D7C6A	(Cackles)	(Хохочет)	
F2BC62E9447D14988D1D4A9368F731D7	(Cackles)	(Хохочет)	
03E11E534D64974F667BF9A0E7D4DD4D	(Chop!)	(Чвак!)	
1640272144D8963E30EAFF931C389E5B	(Chop!)	(Чвак!)	
5278E263445E44D3D42343B65AB6E5F9	(Chop!)	(Чвак!)	
2FBD6CE1442620991D1E888651FB5454	(Chuckles dryly)	(Сухо усмехается)	
356B4D0545FE9BCD44E992926B8365D4	(Chuckles weakly) and it was always hungry...	(Устало усмехается) и оно всегда было голодно...	
41BEE14C4EDD79D348BA7FA02A0B25A2	(Chuckles)	(Усмехается)	
BB7874424EBBFAA6F061E994C5FBCCDF	(Chuckles)	(Усмехается)	
6B29326F45170C352AD3A39A29E7F7E2	(Coughs)	(Кашляет)	
2DE52159445EC989CF18CABDA3EC18B0	(Coughs) Now, iffen you don’t mind… a little spark.	(Кашляет) Ну, ежели не возражаешь... маленькую искру.	
602BF92C4118B4588C277BA6C83FBA4D	(Deep breath)	(Глубокий вдох)	
65AAD1144E0B4F26D77C31866AD3D803	(Door slams open)	(Дверь распахивается с грохотом)	
EE0E7D4440C91AD14ED4A6B6BC412B72	(Gasps) Girl, you startled me...!	(Ахает) Девочка, ты напугала меня...!	
ED5FD7E142E649B62DCDD6927CF85219	(Gasps) It's beautiful...	(Ахает) Это прекрасно...	
5E8F4843429BD44C13ABA6BF1D67A239	(Gasps) The pictures...!	(Ахает) Картинки...!	
C5668B094FE9C30F87BBC8842DBBE24D	(Groaning)	(Стонет)	
AB5A88D64207D26B1116EC9C0B07B3E0	(Groans) The door to the flame is opened.	(Стонет) Дверь к пламени открыта.	
30D6C3C943ABB32278CD3CB6A7C32F54	(Growling)	(Рычит)	
576AFF1D4B3DBD3AD1932EB69DBC22E7	(Growling)	(Рычит)	
6B50A58A475B5D761AA65393BFA07353	(Growling)	(Рычит)	
A67F11C243CF2EF31BE308BE3BD714A3	(Growling)	(Рычит)	
521CA8A047D99C6D7729B396B521DBCF	(Growls)	(Рычит)	
55B7641C4816F723BF4309BF5FEECC58	(Growls)	(Рычит)	
126BCF1C4D5EDE3990BDF6942FD9B6B6	(Grumbles)	(Ворчит)	
74D3C3F9488256D6778C39B4B3D7FB68	(Grumbles)	(Ворчит)	
C8D714EF47639EFEF4B415AE6FCC7FCC	(Grumbles)	(Ворчит)	
FD37888842C28D83814D94911249FD4F	(Grumbles)	(Ворчит)	
CE03C3DD408F30D42AA8E4B7E279DF88	(Grumbles) Get bent, limb tree.	(Ворчит) Отвали, деревяшка с конечностями.	
FA9406184CD07A5B607B059F2B64537C	(Grumbles) Guards! Guards!	(Ворчит) Стража! Стража!	
937AA9724D88F7FD519406AD811DC557	(Grumbles) I’m so nervous to see my body again…	(Ворчит) Я так волнуюсь вновь увидеть своё тело...	
6EF8A0DE43E12C1E854E2EAAC16E589B	(Grumbles) No! No.	(Ворчит) Нет! Нет.	
05260D19437ADC5221E45FA12D937AF1	(Grumbles) This is too much, simply...	(Ворчит) Это чересчур, просто...	
A4E6981445F8C470029539B44303790F	(Grumbles) Well, you can't!	(Ворчит) Что ж, ты не можешь!	
D1D85585480A8E3883AF5C9367633FF8	(Grumbles) What’re you lookin’ at?	(Ворчит) На что уставился?	
4B77EF29441C21A0422C6E9554B7FBDA	(Grumbles) Why walk when...	(Ворчит) Зачем ходить, когда...	
5C87F1F34FCB45095942F7B5E58B6ACA	(Grumbles) You-you-you...	(Ворчит) Ты-ты-ты...	
11D0CAB14F4F12A4F6FE72A139FAFD90	(Grunts)	(Кряхтит)	
633166264B3772EAF5F4D18B90E70D33	(Hissing)	(Шипит)	
9D452A294BD488540AF41ABA6B31B713	(Hissing)	(Шипит)	
A20709C44F5DF36781FF14A57C74DBB0	(Hissing)	(Шипит)	
688BBA994291F2491E93859B3C8A46E2	(Humming a song)	(Напевает песню)	
08DFCE34453296EC5E46C38E6C77BF46	(Humming)	(Напевает)	
0B7F10214B7939071BC7D29756BDC170	(Humming)	(Напевает)	
192769C34DB3C13A2C2424886C3C09F4	(Humming)	(Напевает)	
2644C74D46DD5AE6D16B25BA15B6F49B	(Humming)	(Напевает)	
AF0C05204DA87C74ED0A0A9A5564243E	(Humming)	(Напевает)	
ED94889B447A9D0C9E4B22868A2C791A	(Humming)	(Напевает)	
FFA44EB649681A4B64E3599ED6EEB412	(Humming)	(Напевает)	
293B5A1D43046A65C3A3D5B8A2B46F03	(Hums)	(Напевает)	
7E64C19045106FA7FDF886B8015DF748	(In loving memory of) Maja the Cat	(Светлой памяти) Кошки Майи	
91DF0F334A03EDCD89DC7DB5274AAE87	(In loving memory of) Rasmus the Cat	(Светлой памяти) Кота Расмуса	
8798D037415E00A96CD5F1843AAEDF7E	(Mad cackling	(Безумный хохот)	
1343F82E414842CAD98E14BD5099F525	(Mad cackling)	(Безумный хохот)	
C5B5DD054B02DEC62644A8977858C3EA	(Mad cackling)	(Безумный хохот)	
D13C1DB047395928DF116F8B3DD87C8F	(Mad cackling)	(Безумный хохот)	
1E4BC40242B87299F55A2AA7716E1CA5	(Marching sounds)	(Звуки марша)	
08ED0C9A49F1837DFC18B3BFA30B9892	(Muttering) Come on...!	(Бормочет) Ну же...!	
E7018E6F449EE042EF5E49B7A8F08086	(Mutters) Heads up...	(Бормочет) Выше голову...	
D396BBBB427E53F5A4C80A986839AE21	(Mutters) We don’t take kindly	(Бормочет) Мы не жалуем	
6DACEB424EEC55BBD1BA358499984448	(Oh, I should've stayed in my headey-hole…)	(Ох, лучше бы я остался в своём головоубежище...)	
BF22BEA6476208D7D643308D07EF4DB1	(Oh, I should've stayed in my headey-hole…)	(Ох, лучше бы я остался в своём головоубежище...)	
39E53A624E3D2DED079F6EA01862EFD8	(Pants)	(Тяжело дышит)	
3B3104104F4B0AD86D6455B0E2707EFE	(Potboy noises)	(Звуки Горшочка)	
A1EAB6374859E8633C06DE928E77CA70	(Rabbling)	(Невнятный гомон)	
F14C3678402A6323770A2CBF5F2763C2	(Raspy breathing)	(Хриплое дыхание)	
337246F84D21D5BE25F03283DDA5F680	(Scoffs) At least he has a reason for stickin’ around...!	(Фыркает) По крайней мере, у него есть причина здесь околачиваться...!	
ADD91D564A6210D66BA1C1AE351C4295	(Screaming)	(Кричит)	
5D3180324D335F8F77A1E0885E422F30	(Sighs) But I bet it had a grander adventure than I could ever imagine...	(Вздыхает) Но держу пари, у неё было приключение грандиознее, чем я могла себе представить...	
9ED6D51B4373830A7C590699195BBFAA	(Sighs) But I bet it had a grander adventure than I could ever imagine...	(Вздыхает) Но держу пари, у неё было приключение грандиознее, чем я могла себе представить...	
E53B166149A2147788B93C8F73BFE00B	(Sighs) I really do miss my body.	(Вздыхает) Я очень скучаю по своему телу.	
B625112A44AECED4B1B0098B6E25C0FC	(Sighs) Tourists!	(Вздыхает) Туристы!	
265AFB154F3CB0DC37E7DFAC281EB581	(Slurps) The threads unravel too quickly!	(Хлюпает) Нити распутываются слишком быстро!	
CB3AE3434FCD97014866268CACF23E7A	(Snoring)	(Храпит)	
5CF5F4414DD91C46C3A32183F975E6EB	(Sobbing)	(Рыдает)	
8C1CFCFD4EC95B6562B9499A00A9F75B	(Wailing)	(Стенает)	
665BBABA43AA9A63B658A69569D4333F	... And the time of the Molgrim begins anew.	... И время молгримов начинается вновь.	
5947B8C74DA536DD8ED67395282F7EE1	... Beautiful!	... Прекрасно!	
7A2B281748B73212C8BDDBB07542F7AC	... Forever!	... Навсегда!	
7C544A13477F8AADC79BF3A824455B3B	... Grinning and many-legged.	... Скалящиеся и многоногие.	
5F0F1132496F423D3D1BDC897E98C1D3	... I don’t think I was meant to carry this flame.	... Не думаю, что мне суждено было нести это пламя.	
A0FA49EA406FB18517E18FB8497D89D3	... It was the face of this whole town!	... Это было лицо всего города!	
C9BEA72B45DED95D2F91D78A9B138044	... It’s just a match.	... Это всего лишь спичка.	
CAA4D6CA40854B32FE595180A6A2DDEB	... Jammed!	... Заклинило!	
8313A0FD487DE627E6470A9CEFFB14ED	... Just don’t believe everything the half-dead say.	... Просто не верь всему, что говорят полумёртвые.	
7286EFAE433E2AFD9C1E12ACE1B861D8	... Not until I remember the song.	... Не раньше, чем я вспомню песню.	
AA331C2E40AA2EEBE771D6B8C0C8FDE9	... While I had it, I didn’t know what to do with it,	... Пока оно было у меня, я не знал, что с ним делать,	
925C1BA844F4DD2FF1115597025BD128	... and you will be loved, and forgotten.	... и ты будешь любим, и забыт.	
FA953773447540E49ED98089190420AB	... but the Dark Itself stole her stars,	... но Сама Тьма украла её звёзды,	
499EA6654C291478D5735F89AE4B9510	...and in the dark she had dreams of her own.	...и во тьме у неё были собственные мечты.	
C0BA21EB4C39812D2EB1EBA6EB5D02A9	...and in the dark she had dreams of her own.	...и во тьме у неё были собственные мечты.	
98BBC1A54CB91CC0DCC39B8858B9BF27	...and then be a Somebody again? Man.	...а потом снова стать Тело-веком? Ох, моя голова...	
80078D214B0960A8022146971669D7F5	...into his hollow creation.	...внутрь полого творения своего.	
BD91708F47E226802DFF6588D2F08713	...so the Craftsman escaped...	...Ремесленник сбежал...	
F2643DE840E121FB443A6D9DC92189A0	180 cm	180 см	
C512F77E488851136A6603BFF58108A2	3D-Scan Artist	Художник по 3D-Сканированию	
1C500CB3499F5DCDEB202FAC4A6453D8	???	???	
3694BE27486B2B0BDDE4918BD7001314	???	???	
4D1BCB56417C00832352109A0B7DB91F	???	???	
52C002BA444F6C58531291AB1FE728EC	???	???	
5F49BF814939A507157679AD483A1859	???	???	
667C52F44C3D201C7E814BA4B606CB34	???	???	
69C2DAF245CD34B4CFE4CF9264924315	???	???	
74BC1B21488D041A2E5C978E89F04A7D	???	???	
7C5AA0F24FC943C36602D7B0680298B2	???	???	
8E79A14E4E28E13A4DE08197A99BD888	???	???	
979E3E144E00682B4BDED28A342753AA	???	???	
AE2DD985454D12233D9779B372D67EC2	???	???	
B08C17D74961ADCF4F6DCC99E8AE661B	???	???	
B7DC84714C69FE643EEC02A410BDE26D	???	???	
DE5A44424CA5FCACE079FCB111B547E2	???	???	
ED5E341C4896C79211231D820F10C1CC	???	???	
FAAD567743279919695999A03509E36E	???	???	
8375C5A74CB6935F0F9455975F45257E	A Craftsman	Ремесленник	
AF0C585D4915187A4F4E569F9CB8A344	A Key	Ключ	
D06E0E2E45BE730DD5DFC58269C94F62	A Key	Ключ	
134C2A9E49D65BECA8204DBABF605CF5	A Somebody and its flame… albeit a small one.	Тело-век и его пламя... пусть и малое.	
B2D3297348B39598742451A47F1E873A	A Somebody and its flame… albeit a small one.	Тело-век и его пламя... пусть и малое.	
7C809A894D023114761975829E54AF4A	A Somebody approaches Nobodyville?!	Тело-век приближается к Бестеловиллю?!	
138554B94DB7473A4A04F9B7BC710006	A Wretched Gut Feeling	Мерзостное нутряное предчувствие	
ACF3529249D9E3F81BF7BDA25F1B0428	A boatsman went out into a foggy lake to find peace.	Лодочник отправился на туманное озеро в поисках покоя.	
1A66393A4BF172915C2C5187358A7709	A body… What happened to its head?	Тело... Что случилось с головой?	
AD09A15F4F1DECB7DC116A9B04312F1A	A break through icy clouds, and the shameful stories	Прорывом сквозь ледяные облака, и постыдные истории.	
DBC5952649C386948B6A8FB884921C3D	A death mask, forged from the mother’s fate. It has something to tell, and a Ragdoll could help it speak…	Посмертная маска, выкованная из судьбы матери. Ей есть что рассказать, и Тряпичный человек мог бы помочь ей заговорить...	
0F61397142865B4F494F069A67516AD0	A friend in need is a friend indeed, and friendship can come in the most unusual forms…	Друг познаётся в беде, и дружба может принимать самые необычные формы...	
0FB70AF247691486F9DDD580958055A5	A good head, on a pair of healthy, strong shoulders,	Хорошая голова на паре здоровых, крепких плеч,	
0FF5B5274E3B97AA168D72BC0D18F9B4	A head… What happened to its body?	Голова... Что случилось с телом?	
8744C533475353730AE926BC1C860F5F	A house of fire...	Дом огня...	
01B129B143FDE4ECA1D1FD80EAD81EF7	A key fit for Headmasters, headstrong heroes, and town gates.	Ключ, подходящий для Главноголовов, твердоголовых героев и городских ворот.	
E3B622CF40BBCF2B1F1DC6BAB1DD0516	A key in the dark	Ключ во тьме	
7DDE04214719441DF4D1A2A66669EFC0	A little bird whispered that the ol’ man wants his song back.	Маленькая птичка прошептала, что старик хочет вернуть свою песню.	
C0B8544A457DEF1D0C3320A7AD4EDFC9	A lonesome Ragdoll with his mask.	Одинокий Тряпичный человек со своей маской.	
D5B3882C4F975DB3EB3E8886698CE3FF	A map of the mining town of Coalhaven, such as it is.	Карта шахтёрского городка Углеград, такого, какой он есть.	
5CE6163E4EB958D20314609FCF3512A4	A mask of one of the three Somebodian conquerors. It longs to dance with the other two, by the dark pit.	Маска одного из трёх Тело-веческих завоевателей. Она жаждет станцевать с двумя другими у тёмной ямы.	
63BA045240E2E12D581BC896FA4E41C5	A mask of one of the three Somebodian conquerors. It longs to dance with the other two, by the dark pit.	Маска одного из трёх Тело-веческих завоевателей. Она жаждет станцевать с двумя другими у тёмной ямы.	
C90D50424FABE5249DB26C9A9AD4E4A8	A mask of one of the three Somebodian conquerors. It longs to dance with the other two, by the dark pit.	Маска одного из трёх Тело-веческих завоевателей. Она жаждет станцевать с двумя другими у тёмной ямы.	
1CD9BA1F4588D5FD9CB4BDADA7ED9D87	A mocking echo of the Two-legged Ones that were, the Ragdolls spring to life if given a mask.	Насмешливое эхо былых двуногих, Тряпичные люди оживают, если дать им маску.	
E647DEA54A72BC3A1745E39C1F223D4B	A nameless creature	Безымянное создание	
4F1787FB4CEF9B610B34D29178EDAF2A	A presence that affects us all. We tried to trap it…  but to no avail.	Присутствие, которое влияет на всех нас. Мы пытались поймать её... но тщетно.	
CD9090524780748F7B26DEA51A2A9937	A presence that affects us all. We tried to trap it…  but to no avail.	Присутствие, которое влияет на всех нас. Мы пытались поймать её... но тщетно.	
FB9FB6F94A49895B6E39C0BD13F5E9F0	A purpose lost.	Утраченная цель.	
804549444114DD64C05B3BA4F8531600	A shard of Potboy	Осколок Горшочка	
5AE191844FE82EB9E3B042BA97312F0B	A singing head! (Hisses)	Поющую голову! (Шипит)	
53F0B2134ACA078F9110C8991D1D21FA	A sketch depicting the history of the Molgrims and the attack of the Somebodies.	Эскиз, изображающий историю Молгримов и нападение Тело-веков.	
57D40DFD4262A7CA4C02F5A07B4A19C9	A spark had once again been lit.	Искра была вновь зажжена.	
01FBF4604FD6892E314436990839CE47	A stone’s throw away lay some strange masks. The Murkle followed her instincts and put the masks back on.	В двух шагах лежали странные маски. Мёркл последовала своим инстинктам и надела маски обратно.	
95604B804C0D7144B55496A945005844	A storied meal indeed! Moonbird thanks you for feeding her	Воистину легендарная трапеза! Лунокрыл благодарит тебя за угощение	
D3429C6148F59DAAF692A987CDDFBC28	A storm is coming...	Грядёт буря...	
DAC327954D033E84012954A5D568BAAF	A story to be savored, to be sure… (Slurps)	История, которую стоит смаковать, несомненно... (Хлюпает)	
A56239F04F38F6953E91E8904E1B4CAF	A symbiosis most reasonable, don’t you agree?	Весьма разумный симбиоз, не находишь?	
A04FD2C749C5C4897A71E9AF5521E608	A terrible void, where all your nightmares come true…	Ужасная пустота, где все твои кошмары становятся явью...	
05E3FB244533BB4071A19F86DD2C7995	A thief...	Воровка...	
268E052E4A3BA0ADE51ED8BD18D45950	A time of peace would ensue, or so the Headlings thought...	И воцарился бы мир... по крайней мере, так думали Головлинги...	
A935CB3647BC568326FC728321FB131E	A true story.	Правдивая история.	
00930C80408624FB018AA1A5EDDA2D29	A wanderer from a far away place, she knows no master and loves to dance in the dark.	Странница из далёких краёв, она не знает хозяина и любит танцевать во тьме.	
F0501860444B2DAFF6AC09B7654656A0	A warning from a Ragdoll.	Предупреждение от Тряпичного человека.	
0B83040B488FB6511DB48AB39DE8E26A	A worn map of the Molgim Swamps, once used by the conquering Somebodies.	Потрёпанная карта Болот Молгримов, некогда использовавшаяся Тело-веками завоевателями.	
AAEFEF704B422FA18B404FAE4AEBFF60	Aah-hah! Hngh...!	Аа-ха! Хнгх...!	
B0A951A341D333B656BDBF82193283A5	Aaron Sayed	Aaron Sayed	
C1D999B84EBBEE769F34E5B0064CB423	Accessibility	Специальные возможности	
E10A447C4706922D0DFD8B99BD2FA48B	Accessibility	Специальные возможности	
47E7C2E74BE53D9D08848C946741CD9D	Account Management	Управление Счетами	
3C27F86D45CDE574BC7A0C83ECDBC668	Account Manager	Менеджер по Работе с Клиентами	
B939032B4EDA0F56982E919F8223CCDC	Acke Hallgren	Acke Hallgren	
